__Dt_Conclusao_Ensino_Medio,Matriz_Estrutura_Curso,Periodo_letivo_ini,Dt_Nascimento,Tipo_escola_Origem,sexo,Texto_cidade,Ano_Conclusao_Graduacao,Desc_Curso_Graduacao,Pai_Falecido,Mae_Falecida,Desc_Cor,Profissao,Cod_Grau_Instrucao,Estado_Titulo_Ele,Data_Titulo_Ele,DESC_NACIONALIDADE,Desc_Escola_2_Grau,Desc_Escola_Graduacao,Desc_Naturalidade,Desc_Turno,Desc_Estado_Civil,Desc_Tipo_Escola_Origem,Desc_Cota,Desc_Turno_Ini,Status,Idade,Anos_Apos_Graduacao,n_matriculas_pessoa,primeira_matricula,reingresso,n_matriculas_maior_que_1
2001.0,20,2,0,0.0,0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,0,1.0,30,,1,1,0,0
2013.0,20,1,1,1.0,0,0.0,2019.0,0.0,0.0,0.0,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0,0.0,27,2.0,1,1,0,0
,20,1,2,2.0,0,,,,0.0,0.0,1,1.0,,,,,,,,1,0.0,2.0,,1,1.0,24,,1,1,0,0
2012.0,20,1,3,2.0,0,1.0,,,0.0,0.0,1,1.0,2.0,0.0,2.0,0.0,2.0,,2.0,0,0.0,2.0,1.0,0,0.0,24,,1,1,0,0
2017.0,73,1,4,2.0,0,0.0,,1.0,0.0,0.0,2,,,0.0,3.0,0.0,3.0,1.0,0.0,0,0.0,2.0,1.0,0,0.0,24,,1,1,0,0
,73,1,5,,0,0.0,2005.0,2.0,0.0,0.0,0,2.0,0.0,0.0,4.0,0.0,,2.0,3.0,0,1.0,,0.0,0,1.0,41,18.0,1,1,0,0
,20,1,6,,0,2.0,2010.0,3.0,0.0,0.0,1,3.0,3.0,0.0,5.0,0.0,,3.0,4.0,0,0.0,,1.0,0,1.0,32,9.0,1,1,0,0
2009.0,20,2,7,,0,0.0,2015.0,3.0,0.0,0.0,0,1.0,3.0,0.0,6.0,0.0,4.0,4.0,0.0,2,1.0,,0.0,2,1.0,25,2.0,1,1,0,0
,20,1,8,,0,0.0,2013.0,4.0,0.0,0.0,2,,,0.0,7.0,0.0,,5.0,0.0,0,,,0.0,0,0.0,36,8.0,1,1,0,0
2015.0,20,1,9,3.0,1,3.0,,1.0,0.0,0.0,0,1.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0,0.0,3.0,0.0,0,1.0,23,,1,1,0,0
2010.0,73,1,10,0.0,1,1.0,2021.0,5.0,0.0,0.0,0,1.0,1.0,0.0,9.0,0.0,6.0,1.0,5.0,0,1.0,0.0,0.0,0,0.0,30,2.0,1,1,0,0
2017.0,20,1,11,2.0,1,4.0,2021.0,6.0,0.0,0.0,3,1.0,2.0,0.0,10.0,0.0,7.0,,6.0,0,0.0,2.0,0.0,0,0.0,22,0.0,1,1,0,0
,20,1,12,2.0,1,,,,0.0,1.0,1,4.0,4.0,,,0.0,,,0.0,1,0.0,2.0,,1,1.0,36,,1,1,0,0
2012.0,73,1,13,2.0,0,5.0,2017.0,7.0,0.0,0.0,0,5.0,,0.0,11.0,0.0,8.0,6.0,7.0,0,0.0,2.0,0.0,0,1.0,28,6.0,1,1,0,0
2014.0,20,1,14,2.0,1,1.0,,,0.0,0.0,1,6.0,2.0,0.0,12.0,0.0,9.0,,2.0,0,0.0,2.0,1.0,0,0.0,22,,1,1,0,0
2014.0,73,1,15,0.0,0,0.0,2021.0,1.0,0.0,0.0,0,,,0.0,13.0,0.0,10.0,0.0,0.0,0,0.0,0.0,1.0,0,1.0,25,1.0,1,1,0,0
,20,1,16,,0,,,,0.0,0.0,1,,,,,0.0,,,6.0,0,,,1.0,0,0.0,39,,1,1,0,0
2012.0,20,1,17,2.0,0,0.0,,,0.0,0.0,0,1.0,2.0,0.0,14.0,0.0,11.0,,0.0,2,0.0,2.0,1.0,2,0.0,24,,1,1,0,0
2005.0,20,1,18,2.0,0,0.0,2018.0,4.0,0.0,0.0,2,7.0,3.0,0.0,15.0,0.0,12.0,7.0,0.0,0,1.0,2.0,1.0,2,1.0,31,0.0,1,1,0,0
,20,1,19,,0,1.0,2013.0,8.0,0.0,0.0,0,,1.0,0.0,16.0,0.0,,,8.0,0,,,0.0,0,0.0,33,8.0,1,1,0,0
,20,1,20,2.0,0,0.0,,,0.0,0.0,0,1.0,2.0,0.0,17.0,0.0,13.0,,0.0,2,0.0,2.0,1.0,2,0.0,26,,1,1,0,0
,20,2,21,2.0,0,0.0,,,0.0,0.0,1,,,0.0,18.0,0.0,,,,0,0.0,2.0,1.0,0,0.0,22,,1,1,0,0
,20,2,22,,0,0.0,,3.0,0.0,0.0,2,,1.0,0.0,19.0,0.0,,8.0,9.0,0,0.0,,1.0,2,1.0,24,,1,1,0,0
,73,1,23,,0,0.0,2012.0,7.0,0.0,0.0,0,2.0,4.0,0.0,20.0,0.0,,6.0,0.0,0,1.0,,0.0,0,0.0,37,11.0,1,1,0,0
2013.0,73,1,24,0.0,0,0.0,2022.0,9.0,0.0,0.0,3,8.0,0.0,0.0,21.0,0.0,14.0,2.0,0.0,0,0.0,0.0,1.0,0,1.0,29,1.0,1,1,0,0
